CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,MD,NN,NNP,NNS,PDT,PRP,PRP$,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Author
0.04238921001926782,0.004816955684007707,0.08766859344894026,0.002890173410404624,0.0,0.1069364161849711,0.0626204238921002,0.0009633911368015414,0.0,0.011560693641618497,0.18978805394990367,0.010597302504816955,0.04335260115606936,0.0,0.07418111753371869,0.05684007707129094,0.04527938342967245,0.0009633911368015414,0.0,0.0019267822736030828,0.028901734104046242,0.03564547206165703,0.09441233140655106,0.017341040462427744,0.03468208092485549,0.01348747591522158,0.01348747591522158,0.005780346820809248,0.00674373795761079,0.0,0.00674373795761079,ms
0.04296875,0.00390625,0.09375,0.001953125,0.0,0.111328125,0.0615234375,0.0,0.001953125,0.013671875,0.1845703125,0.0068359375,0.0390625,0.0029296875,0.080078125,0.0576171875,0.0439453125,0.0029296875,0.0,0.001953125,0.029296875,0.046875,0.0986328125,0.0224609375,0.0224609375,0.01171875,0.0068359375,0.0009765625,0.0029296875,0.0009765625,0.005859375,ms
0.03595080416272469,0.003784295175023652,0.10501419110690634,0.000946073793755913,0.0,0.10690633869441817,0.07473982970671712,0.000946073793755913,0.000946073793755913,0.00946073793755913,0.17975402081362346,0.01608325449385052,0.04541154210028382,0.0,0.0728476821192053,0.046357615894039736,0.048249763481551564,0.000946073793755913,0.0,0.005676442762535478,0.02838221381267739,0.041627246925260174,0.07757805108798486,0.01229895931882687,0.030274361400189215,0.020813623462630087,0.02270577105014191,0.002838221381267739,0.000946073793755913,0.0,0.007568590350047304,ms
0.043264503441494594,0.004916420845624385,0.10521140609636184,0.0,0.0,0.14257620452310718,0.0855457227138643,0.0019665683382497543,0.0009832841691248771,0.0058997050147492625,0.20452310717797442,0.00688298918387414,0.05408062930186824,0.0019665683382497543,0.04424778761061947,0.05211406096361849,0.03638151425762045,0.0019665683382497543,0.0,0.0009832841691248771,0.028515240904621434,0.02359882005899705,0.06784660766961652,0.018682399213372666,0.02753195673549656,0.011799410029498525,0.008849557522123894,0.007866273352999017,0.0029498525073746312,0.0029498525073746312,0.0058997050147492625,ms
0.04625984251968504,0.004921259842519685,0.11515748031496063,0.0,0.0,0.1328740157480315,0.06200787401574803,0.001968503937007874,0.0,0.00984251968503937,0.19291338582677164,0.002952755905511811,0.03740157480314961,0.0,0.07775590551181102,0.038385826771653545,0.05708661417322835,0.0,0.0,0.001968503937007874,0.017716535433070866,0.025590551181102362,0.09350393700787402,0.022637795275590553,0.03248031496062992,0.006889763779527559,0.005905511811023622,0.005905511811023622,0.000984251968503937,0.0,0.006889763779527559,ms
0.053518334985133795,0.006937561942517344,0.10406342913776016,0.0019821605550049554,0.0,0.13280475718533202,0.07433102081268583,0.002973240832507433,0.002973240832507433,0.008919722497522299,0.17244796828543113,0.002973240832507433,0.040634291377601585,0.0009910802775024777,0.07036669970267592,0.044598612487611496,0.040634291377601585,0.0,0.0019821605550049554,0.0019821605550049554,0.03270564915758176,0.03865213082259663,0.07928642220019821,0.018830525272547076,0.03270564915758176,0.006937561942517344,0.006937561942517344,0.006937561942517344,0.005946481665014866,0.0,0.005946481665014866,ms
0.03773584905660377,0.005660377358490566,0.09811320754716982,0.0018867924528301887,0.0009433962264150943,0.12358490566037736,0.0830188679245283,0.002830188679245283,0.0,0.011320754716981131,0.2037735849056604,0.017924528301886792,0.031132075471698113,0.0,0.06509433962264151,0.04150943396226415,0.04245283018867924,0.002830188679245283,0.0009433962264150943,0.0047169811320754715,0.024528301886792454,0.03207547169811321,0.08113207547169811,0.022641509433962263,0.017924528301886792,0.016981132075471698,0.011320754716981131,0.002830188679245283,0.007547169811320755,0.0018867924528301887,0.005660377358490566,ms
0.037937743190661476,0.008754863813229572,0.11186770428015565,0.0019455252918287938,0.0,0.1264591439688716,0.07392996108949416,0.0009727626459143969,0.0019455252918287938,0.010700389105058366,0.21108949416342412,0.010700389105058366,0.03501945525291829,0.0,0.048638132295719845,0.042801556420233464,0.03988326848249027,0.0029182879377431907,0.0,0.0,0.038910505836575876,0.03696498054474708,0.07684824902723736,0.013618677042801557,0.030155642023346304,0.014591439688715954,0.008754863813229572,0.008754863813229572,0.0019455252918287938,0.0009727626459143969,0.0029182879377431907,ms
0.038385826771653545,0.002952755905511811,0.09547244094488189,0.0,0.0,0.13582677165354332,0.07677165354330709,0.001968503937007874,0.000984251968503937,0.010826771653543307,0.18700787401574803,0.002952755905511811,0.038385826771653545,0.002952755905511811,0.07480314960629922,0.06692913385826772,0.04232283464566929,0.0,0.000984251968503937,0.003937007874015748,0.024606299212598427,0.027559055118110236,0.08759842519685039,0.013779527559055118,0.03740157480314961,0.008858267716535433,0.003937007874015748,0.002952755905511811,0.005905511811023622,0.0,0.003937007874015748,ms
0.055666003976143144,0.006958250497017893,0.09642147117296222,0.003976143141153081,0.0,0.1341948310139165,0.07157057654075547,0.0019880715705765406,0.0,0.003976143141153081,0.20377733598409542,0.0019880715705765406,0.041749502982107355,0.0009940357852882703,0.06063618290258449,0.05765407554671968,0.032803180914512925,0.0019880715705765406,0.0,0.003976143141153081,0.027833001988071572,0.015904572564612324,0.09343936381709742,0.019880715705765408,0.03479125248508946,0.003976143141153081,0.003976143141153081,0.002982107355864811,0.007952286282306162,0.0019880715705765406,0.006958250497017893,ms
